,id,team_names,city,nba_franchise,Conference,division,code,false_min_played,false_game_played
0,1,Atlanta Hawks,Atlanta,True,East,Southeast,ATL,288.0752921810397,85
1,2,Boston Celtics,Boston,True,East,Atlantic,BOS,395.83002175639314,84
3,4,Brooklyn Nets,Brooklyn,True,East,Atlantic,BKN,320.0525803881594,90
4,5,Charlotte Hornets,Charlotte,True,East,Southeast,CHA,295.082105434935,85
5,6,Chicago Bulls,Chicago,True,East,Central,CHI,231.46370188671645,84
6,7,Cleveland Cavaliers,Cleveland,True,East,Central,CLE,235.7720829000334,86
7,8,Dallas Mavericks,Dallas,True,West,Southwest,DAL,143.80775504951586,82
8,9,Denver Nuggets,Denver,True,West,Northwest,DEN,278.2293628652692,84
9,10,Detroit Pistons,Detroit,True,East,Central,DET,343.4459222179039,90
10,11,Golden State Warriors,Golden State,True,West,Pacific,GSW,363.693718915851,84
13,14,Houston Rockets,Houston,True,West,Southwest,HOU,265.750829939285,83
14,15,Indiana Pacers,Indiana,True,East,Central,IND,216.63394788959462,89
15,16,LA Clippers,LA,True,West,Pacific,LAC,233.58475796994048,84
16,17,Los Angeles Lakers,Los Angeles,True,West,Pacific,LAL,291.0656551965535,87
18,19,Memphis Grizzlies,Memphis,True,West,Southwest,MEM,125.54459894020013,84
19,20,Miami Heat,Miami,True,East,Southeast,MIA,261.0463385332026,83
20,21,Milwaukee Bucks,Milwaukee,True,East,Central,MIL,353.01761013933105,83
21,22,Minnesota Timberwolves,Minnesota,True,West,Northwest,MIN,310.76733012297177,84
22,23,New Orleans Pelicans,New Orleans,True,West,Southwest,NOP,262.0023526917753,87
23,24,New York Knicks,New York,True,East,Atlantic,NYK,310.09679422215595,90
24,25,Oklahoma City Thunder,Oklahoma City,True,West,Northwest,OKC,256.32718979616646,89
25,26,Orlando Magic,Orlando,True,East,Southeast,ORL,267.960307455323,89
26,27,Philadelphia 76ers,Philadelphia,True,East,Atlantic,PHI,324.70023603635013,83
27,28,Phoenix Suns,Phoenix,True,West,Pacific,PHX,330.046806362816,88
28,29,Portland Trail Blazers,Portland,True,West,Northwest,POR,250.90352225147953,85
29,30,Sacramento Kings,Sacramento,True,West,Pacific,SAC,300.04007563985346,84
30,31,San Antonio Spurs,San Antonio,True,West,Southwest,SAS,297.4877849976239,82
37,38,Toronto Raptors,Toronto,True,East,Atlantic,TOR,375.7074394854068,90
39,40,Utah Jazz,Utah,True,West,Northwest,UTA,188.43495923731447,83
40,41,Washington Wizards,Washington,True,East,Southeast,WAS,150.84794267132457,87
